Date,BTC-USD,IBIT,FBTC,ARKB,BITB,ETHA,MSTR,ETH-USD,SOL-USD,SPY,TLT
2025-11-21,85090.6875,47.970001220703125,73.72000122070312,28.059999465942383,45.95000076293945,20.700000762939453,170.5,2765.69921875,128.50050354003906,653.6148681640625,86.5174789428711
2025-11-24,88270.5625,50.56999969482422,77.69000244140625,29.59000015258789,48.45000076293945,22.450000762939453,179.0399932861328,2952.71337890625,138.37135314941406,663.2351684570312,87.01048278808594
2025-11-25,87341.890625,49.560001373291016,76.08000183105469,29.010000228881836,47.47999954223633,22.1299991607666,172.19000244140625,2957.936279296875,138.89114379882812,669.4735717773438,87.23282623291016
2025-11-26,90518.3671875,51.029998779296875,78.38999938964844,29.860000610351562,48.86000061035156,22.899999618530273,175.63999938964844,3027.81201171875,143.01219177246094,674.09521484375,87.61949157714844
2025-11-28,90919.265625,51.54999923706055,79.08000183105469,30.139999389648438,49.31999969482422,22.950000762939453,177.17999267578125,3032.304443359375,137.39019775390625,677.7747192382812,87.20381164550781
2025-12-01,86321.5703125,48.5,74.5199966430664,28.389999389648438,46.470001220703125,20.770000457763672,171.4199981689453,2800.18896484375,126.70902252197266,674.6803588867188,86.11824798583984
2025-12-02,91350.203125,51.66999816894531,79.3499984741211,30.260000228881836,49.5,22.510000228881836,181.3300018310547,2997.939697265625,138.67420959472656,675.9299926757812,86.15704345703125
2025-12-03,93527.8046875,52.7400016784668,81.05000305175781,30.889999389648438,50.52000045776367,23.719999313354492,188.38999938964844,3191.57177734375,144.89849853515625,678.2706298828125,86.39957427978516
2025-12-04,92141.625,52.5099983215332,80.66000366210938,30.729999542236328,50.29999923706055,23.770000457763672,186.00999450683594,3134.31640625,139.0145263671875,678.7664794921875,85.93391418457031
2025-12-05,89387.7578125,50.689998626708984,77.87000274658203,29.68000030517578,48.54999923706055,22.850000381469727,178.99000549316406,3024.432861328125,133.322998046875,680.0557861328125,85.53617095947266
2025-12-08,90640.203125,51.52000045776367,79.13999938964844,30.149999618530273,49.369998931884766,23.719999313354492,183.69000244140625,3125.197998046875,133.27822875976562,678.0126953125,85.25482940673828
2025-12-09,92691.7109375,52.849998474121094,81.18000030517578,30.920000076293945,50.599998474121094,25.170000076293945,188.99000549316406,3321.114990234375,137.901611328125,677.4276123046875,85.34214782714844
2025-12-10,92020.9453125,52.4900016784668,80.66000366210938,30.719999313354492,50.290000915527344,25.389999389648438,184.63999938964844,3325.39013671875,136.46902465820312,681.92041015625,85.6719970703125
2025-12-11,92511.3359375,52.099998474121094,79.9800033569336,30.469999313354492,49.88999938964844,24.3799991607666,183.3000030517578,3237.056884765625,136.37156677246094,683.5072021484375,85.55558013916016
2025-12-12,90270.4140625,51.20000076293945,78.66999816894531,29.950000762939453,49.040000915527344,23.270000457763672,176.4499969482422,3084.172607421875,132.3242950439453,676.1581420898438,84.73096466064453
2025-12-15,86419.78125,48.65999984741211,74.73999786376953,28.479999542236328,46.61000061035156,22.1200008392334,162.0800018310547,2964.18310546875,127.75711822509766,675.1365966796875,84.78917694091797
2025-12-16,87843.984375,49.709999084472656,76.3499984741211,29.059999465942383,47.59000015258789,22.280000686645508,167.5,2964.180908203125,129.25120544433594,673.2918701171875,85.25482940673828
2025-12-17,86143.7578125,48.709999084472656,74.8499984741211,28.510000228881836,46.630001068115234,21.31999969482422,160.3800048828125,2831.403564453125,123.11980438232422,665.8832397460938,85.17723083496094
2025-12-18,85462.5078125,47.959999084472656,73.75,28.09000015258789,45.93000030517578,21.0,158.24000549316406,2827.069091796875,119.57015228271484,670.9115600585938,85.58467864990234
2025-12-19,88103.3828125,49.90999984741211,76.69000244140625,29.209999084472656,47.79999923706055,22.639999389648438,164.82000732421875,2977.970703125,126.1927490234375,676.9923095703125,85.26524353027344
2025-12-22,88490.015625,50.09000015258789,76.95999908447266,29.309999465942383,47.970001220703125,22.479999542236328,164.32000732421875,3006.07373046875,125.80123138427734,681.2098999023438,85.0802001953125
2025-12-23,87414.0,49.650001525878906,76.33999633789062,29.100000381469727,47.61000061035156,22.420000076293945,157.8800048828125,2963.3740234375,123.85721588134766,684.3233032226562,85.21653747558594
2025-12-24,87611.9609375,49.459999084472656,76.0199966430664,28.969999313354492,47.400001525878906,22.170000076293945,158.7100067138672,2945.590576171875,122.45860290527344,686.7305297851562,85.73270416259766
2025-12-26,87301.4296875,49.61000061035156,76.27999877929688,29.049999237060547,47.540000915527344,22.139999389648438,158.80999755859375,2925.74560546875,122.19595336914062,686.660888671875,85.45027160644531
2025-12-29,87138.140625,49.380001068115234,75.87999725341797,28.90999984741211,47.310001373291016,22.100000381469727,155.38999938964844,2934.538330078125,123.12522888183594,684.2138671875,85.77166748046875
2025-12-30,88430.1328125,49.83000183105469,76.55000305175781,29.170000076293945,47.72999954223633,22.329999923706055,155.61000061035156,2971.416748046875,124.93132019042969,683.3783569335938,85.56714630126953
2025-12-31,87508.828125,49.650001525878906,76.2300033569336,29.040000915527344,47.560001373291016,22.43000030517578,151.9499969482422,2967.03759765625,124.48446655273438,678.3152465820312,84.88541412353516
2026-01-02,89944.6953125,50.939998626708984,78.19000244140625,29.790000915527344,48.79999923706055,23.579999923706055,157.16000366210938,3124.422607421875,132.1336669921875,679.55859375,84.75880432128906
2026-01-05,93882.5546875,53.459999084472656,82.0999984741211,31.290000915527344,51.209999084472656,24.520000457763672,164.72000122070312,3226.13037109375,137.98997497558594,684.0845336914062,85.17759704589844
2026-01-06,93729.03125,52.45000076293945,80.55000305175781,30.709999084472656,50.25,24.5,157.97000122070312,3295.94677734375,141.09841918945312,688.1529541015625,85.00227355957031
2026-01-07,91308.0546875,51.540000915527344,79.2300033569336,30.184999465942383,49.40999984741211,23.68000030517578,161.8300018310547,3166.843994140625,136.31301879882812,685.9347534179688,85.49896240234375
2026-01-08,91027.125,51.52000045776367,79.12000274658203,30.18000030517578,49.349998474121094,23.450000762939453,166.97000122070312,3104.382568359375,138.29342651367188,685.8651123046875,85.0704574584961
2026-01-09,90513.1015625,51.15999984741211,78.58999633789062,29.950000762939453,49.0,23.190000534057617,157.3300018310547,3083.047119140625,135.7563934326172,690.4010009765625,85.63532257080078
2026-01-12,91192.9921875,51.869998931884766,79.69000244140625,30.360000610351562,49.689998626708984,23.440000534057617,162.22999572753906,3092.3251953125,139.1361846923828,691.4852294921875,85.38209533691406
2026-01-13,95321.78125,53.56999969482422,82.33000183105469,31.350000381469727,51.34000015258789,24.219999313354492,172.99000549316406,3322.095458984375,145.36087036132812,690.1026000976562,85.52818298339844
2026-01-14,96929.328125,55.439998626708984,85.12000274658203,32.459999084472656,53.08000183105469,25.59000015258789,179.3300018310547,3354.72265625,146.7528076171875,686.7106323242188,86.02488708496094
2026-01-15,95551.1875,54.0,82.98999786376953,31.6299991607666,51.720001220703125,24.829999923706055,170.91000366210938,3317.101318359375,142.3324432373047,688.5806884765625,86.00540161132812
2026-01-16,95525.1171875,54.2400016784668,83.2300033569336,31.709999084472656,51.900001525878906,24.8799991607666,173.7100067138672,3295.482177734375,144.8604736328125,688.0037231445312,85.50872039794922
2026-01-20,88310.90625,50.7599983215332,77.9800033569336,29.729999542236328,48.630001068115234,22.670000076293945,160.22999572753906,2935.605712890625,125.70572662353516,673.9981689453125,84.38872528076172
2026-01-21,89376.9609375,51.11000061035156,78.48999786376953,29.90999984741211,48.95000076293945,22.8799991607666,163.80999755859375,2978.901123046875,129.3790740966797,681.77685546875,85.03150177001953
2026-01-22,89462.453125,50.66999816894531,77.83000183105469,29.65999984741211,48.54999923706055,22.170000076293945,160.97999572753906,2949.63330078125,128.28834533691406,685.3379516601562,85.40159606933594
2026-01-23,89503.875,50.70000076293945,77.91999816894531,29.690000534057617,48.59000015258789,22.200000762939453,163.11000061035156,2953.25634765625,127.36157989501953,685.5865478515625,85.63532257080078
