date,open,high,low,close,volume,vwap,returns,log_returns,abs_returns,dow,month,vol_7d,vol_30d,vol_90d,ema9,ema21,ma200,ma365,atr14,adx14,rsi2,rsi14,bb_mid,bb_std,bb_upper,bb_lower
2021-06-13,35557.32,39396.0,34780.57,39015.24,40669112838,37187.2825,0.09724886542380973,0.09280601556772662,0.09724886542380973,Sunday,June,1.3326998895187807,1.1945468417064204,0.8993542694151879,36777.32146164575,37925.627161251956,42372.79150000001,28465.939506849314,2981.701428571428,47.920649045788025,66.00299292615792,57.69819079401483,36708.1935,1736.8391192389333,40181.871738477865,33234.51526152214
2021-06-14,39015.24,41076.03,38744.83,40539.47,43148914673,39843.8925,0.03906755411475116,0.03832372840074406,0.03906755411475116,Monday,June,1.1696323035053307,1.1869002642781195,0.9018022335171827,37529.7511693166,38163.249237501775,42489.638849999996,28551.458602739727,2908.8521428571426,45.40072787132676,100.0,57.53082404423287,36817.0765,1905.9838505536486,40629.0442011073,33005.1087988927
2021-06-15,40537.93,41322.55,39510.98,40162.37,46420149185,40383.4575,-0.009302045636018441,-0.009345579844305613,0.009302045636018441,Tuesday,June,1.177285377543938,1.1870300364237927,0.8986037495346746,38056.274935453286,38344.98748863798,42604.68095000001,28635.64994520548,2877.547857142857,42.95755586959081,80.16651501843455,58.11399261628236,36860.533500000005,1974.1033482445298,40808.74019648907,32912.32680351094
2021-06-16,40158.06,40499.0,38105.0,38351.0,39211635100,39278.265,-0.04510117306324313,-0.046149884493844565,0.04510117306324313,Wednesday,June,0.9833212360887266,1.1780144347400887,0.9018116629575326,38115.21994836263,38345.53408057998,42707.7367,28714.6218630137,2883.021428571428,41.15230681281486,0.0,51.729764005317996,36850.2395,1965.3093525380225,40780.858205076045,32919.62079492396
2021-06-17,38351.0,39554.98,37365.63,38095.17,37096670047,38341.695,-0.006670751740502245,-0.006693100649691423,0.006670751740502245,Thursday,June,0.969220977280881,1.1770190491252206,0.9015916712655934,38111.2099586901,38322.77370961816,42807.20235000001,28793.081205479455,2874.7649999999994,39.709607682729015,0.0,47.24492018872647,36970.9745,1963.835246526486,40898.64499305297,33043.30400694702
2021-06-18,38103.94,38216.22,35153.16,35841.81,36200887275,36828.7825,-0.059150805732065215,-0.0609724133792289,0.059150805732065215,Friday,June,1.068862863826588,1.0834025373145821,0.9084460964400404,37657.329966952086,38097.231554198326,42887.84170000001,28865.589890410956,2829.410714285714,39.01080030870637,0.0,47.55999674893872,37031.674,1905.4945414950366,40842.663082990075,33220.68491700992
2021-06-19,35840.96,36457.18,34833.26,35484.79,31207279719,35654.0475,-0.009960992483359465,-0.010010935097761277,0.009960992483359465,Saturday,June,1.0091763422750215,1.0149649825560692,0.9083479393443155,37222.82197356167,37859.73686745302,42971.3508,28937.323808219182,2724.749285714285,38.4488321813214,0.0,49.86209991327674,37022.4415,1912.8752588605462,40848.19201772109,33196.69098227891
2021-06-20,35484.8,36139.73,33347.05,35585.78,36664034054,35139.34,0.0028460081065717624,0.002841965893132384,0.0028460081065717624,Sunday,June,0.6133666035170503,0.9755983449033605,0.902125455301268,36895.413578849344,37653.01351586638,43053.151549999995,29009.18693150685,2837.093571428571,38.32019128579511,22.04973690530754,49.4543338145294,36937.765,1938.2215941084826,40814.208188216966,33061.32181178303
2021-06-21,35585.79,35741.54,31259.0,31609.82,52809038594,33549.0375,-0.11172889845325851,-0.11847828804824183,0.11172889845325851,Monday,June,0.783451310496163,1.0498005664271854,0.9278804739074323,35838.29486307948,37103.63228715126,43113.95745,29070.347698630136,2908.747142857142,38.68902082593015,2.477096849360379,45.41160414271637,36684.006,2275.8756693642567,41235.757338728516,32132.254661271487
2021-06-22,31609.82,33352.0,28800.0,32538.37,58964353058,31575.0475,0.029375364997333175,0.02895217653120642,0.029375364997333175,Tuesday,June,0.8992994473360039,1.0262517244577485,0.9279119076089032,35178.309890463584,36688.60844286478,43183.3588,29132.943945205476,3015.029285714285,39.5174446045392,18.932574304058917,48.052784210184605,36432.029,2444.434887855953,41320.89877571191,31543.159224288094
