date,open,high,low,close,volume,vwap
2022-11-26,16510.9,16693.18,16376.1,16450.93,18000008764,16507.7775
2022-11-27,16450.32,16589.43,16395,16419.88,20443898509,16463.6575
2022-11-28,16421.63,16478.32,15992.64,16206.3,27743025156,16274.7225
2022-11-29,16206.23,16541.72,16092.53,16438,23581685468,16319.62
2022-11-30,16437.94,17259.37,16423.37,17167.33,29523576583,16822.0025
2022-12-01,17165.44,17317.8,16855,16980.08,22895392882,17079.58
2022-12-02,16980.07,17108.25,16791.02,17094.71,19539705127,16993.5125
2022-12-03,17094.25,17158.42,16863.58,16888.53,16217776704,17001.195
2022-12-04,16889.17,17199.99,16882.86,17108.9,16824520830,17020.23
2022-12-05,17108.9,17424.59,16865.22,16966.05,22209086834,17091.19
2022-12-06,16966.05,17111.35,16904.04,17089.05,19889922369,17017.6225
2022-12-07,17089.18,17140.22,16679.52,16840,19675404389,16937.23
2022-12-08,16839.76,17300.59,16738,17226.01,20496603770,17026.09
2022-12-09,17226.03,17352.62,17060.69,17130.59,20328426366,17192.4825
2022-12-10,17130.49,17227.64,17093.42,17128.1,12706781969,17144.9125
2022-12-11,17128.1,17271.92,17073.19,17085.21,14122486832,17139.605
2022-12-12,17085.62,17244.63,16875.83,17211.66,19617581341,17104.435
2022-12-13,17212.9,17999.99,17089.17,17773.18,26634741631,17518.81
2022-12-14,17772.98,18385.36,17660.93,17804.97,25534481470,17906.06
2022-12-15,17805.36,17856.26,17275.02,17357.96,20964448341,17573.65
2022-12-16,17359.1,17525,16529.53,16632.64,24031608960,17011.5675
2022-12-17,16634.29,16799.99,16585.64,16782.25,14463581825,16700.5425
2022-12-18,16782.23,16875,16663.76,16741.16,10924354698,16765.5375
2022-12-19,16742.33,16822.84,16273.4,16439.74,17221074814,16569.5775
2022-12-20,16439.98,17060.86,16398.22,16897.65,22722096615,16699.1775
2022-12-21,16896.17,16926.05,16725.78,16826.56,14882945045,16843.64
2022-12-22,16825.18,16868.82,16560.84,16815.51,16441573050,16767.5875
2022-12-23,16815.28,16943.29,16719.57,16777.21,15329265213,16813.8375
2022-12-24,16777.88,16863.62,16775.88,16837.12,9744636213,16813.625
2022-12-25,16837.24,16853.88,16720.89,16829.02,11656379938,16810.2575
2022-12-26,16829.19,16939.81,16787.97,16917.96,11886957804,16868.7325
2022-12-27,16916.66,16967,16585.97,16698.73,15748580239,16792.09
2022-12-28,16698.31,16777.35,16460,16539.66,17005713920,16618.83
2022-12-29,16539.66,16654.81,16479.5,16627.54,14472237479,16575.3775
2022-12-30,16627.36,16649.99,16326.16,16600.1,15929162910,16550.9025
