don,adx_veto,stop_n,max_units_strong,pyramid_step_n,BTC_tr_mar,BTC_va_mar,BTC_va_cagr,BTC_va_dd,BTC_win,ETH_tr_mar,ETH_va_mar,ETH_va_cagr,ETH_va_dd,ETH_win,mean_tr_mar,mean_va_mar
30/15-70/25,15.0,2.0,2,0.5,0.98,0.18,0.053,-0.287,0.294,0.81,0.42,0.116,-0.275,0.308,0.895,0.3
20/10-55/20,15.0,2.0,4,0.5,1.1,0.51,0.113,-0.221,0.389,0.68,0.47,0.17,-0.361,0.235,0.8900000000000001,0.49
20/10-55/20,15.0,1.5,4,0.5,0.99,0.57,0.122,-0.214,0.389,0.78,0.57,0.184,-0.325,0.278,0.885,0.57
20/10-55/20,15.0,2.0,4,1.0,1.06,0.4,0.085,-0.211,0.368,0.64,0.51,0.174,-0.339,0.235,0.8500000000000001,0.455
30/15-70/25,25.0,2.5,4,1.0,1.16,-0.1,-0.032,-0.32,0.25,0.52,-0.2,-0.079,-0.398,0.273,0.84,-0.15000000000000002
30/15-70/25,15.0,2.5,2,0.5,0.92,0.19,0.048,-0.252,0.333,0.72,0.4,0.111,-0.278,0.308,0.8200000000000001,0.29500000000000004
30/15-70/25,15.0,2.5,4,1.0,0.69,0.29,0.057,-0.196,0.333,0.9,0.39,0.114,-0.291,0.286,0.7949999999999999,0.33999999999999997
20/10-55/20,15.0,1.5,4,1.0,0.84,0.49,0.099,-0.203,0.368,0.74,0.57,0.182,-0.317,0.278,0.79,0.53
30/15-70/25,15.0,2.0,4,0.5,0.81,0.16,0.045,-0.287,0.294,0.74,0.41,0.124,-0.3,0.286,0.775,0.285
30/15-70/25,15.0,2.5,4,0.5,0.73,0.23,0.052,-0.223,0.333,0.74,0.3,0.102,-0.339,0.286,0.735,0.265
30/15-70/25,15.0,1.5,4,0.5,0.81,0.28,0.072,-0.263,0.294,0.45,0.6,0.153,-0.255,0.357,0.63,0.44
