top_n,tier_cutoff,trailing_stop,atr_stop_mult,rsi_hi,use_regime,train_cagr,train_dd,train_mar,train_win,val_cagr,val_dd,val_mar,val_win,val_sharpe
8,70.0,0.3,2.5,80.0,False,0.0468366859420295,-0.15311280625389057,0.3058965940730342,0.42934782608695654,0.37247512716677145,-0.19647746814793665,1.8957651005881158,0.5050709939148073,1.2768114503163481
12,50.0,0.3,2.0,70.0,True,0.04879196120700802,-0.16079453257057763,0.30344291206289453,0.37844036697247707,0.5292056143906101,-0.22705499935801166,2.330737556481542,0.4431314623338257,1.5502434626639894
12,50.0,0.3,2.0,80.0,True,0.04643934459304311,-0.1531330270420228,0.3032614550243248,0.3870967741935484,0.5675217214574613,-0.20932451429595822,2.711205246868782,0.4420401854714065,1.6318260457493379
12,50.0,0.3,2.5,70.0,True,0.049009390054685076,-0.16242413865424088,0.3017371091560069,0.39436619718309857,0.5945517325720788,-0.2333518200854735,2.547876988293054,0.47619047619047616,1.659722241830177
8,60.0,0.2,3.0,70.0,True,0.042936145794341796,-0.14272369099540416,0.3008340486074199,0.4431818181818182,0.4375564864714767,-0.28632830322669456,1.5281635854386715,0.4991304347826087,1.4211431614003065
8,60.0,0.25,3.0,70.0,True,0.042936145794341796,-0.14272369099540416,0.3008340486074199,0.4431818181818182,0.443218179027824,-0.286328303226694,1.5479370150736234,0.5,1.430525335627918
8,60.0,0.3,3.0,70.0,True,0.042936145794341796,-0.14272369099540416,0.3008340486074199,0.4431818181818182,0.46831637921721203,-0.28632830322669434,1.6355923390725104,0.5043782837127846,1.4773331588789127
12,60.0,0.2,2.0,70.0,True,0.04113878742032995,-0.13966553269664883,0.29455218210267164,0.40714285714285714,0.3893539332202416,-0.24829149275169815,1.5681323951345032,0.444104134762634,1.3091695159684016
12,60.0,0.25,2.0,70.0,True,0.04113878742032995,-0.13966553269664883,0.29455218210267164,0.40714285714285714,0.4063174529529727,-0.24829149275169782,1.636453381668246,0.445468509984639,1.3487210370710256
12,60.0,0.3,2.0,70.0,True,0.04113878742032995,-0.13966553269664883,0.29455218210267164,0.40714285714285714,0.41753514070632325,-0.24829149275169782,1.6816328907566573,0.4453004622496148,1.3691711454396946
12,50.0,0.2,2.0,80.0,True,0.044499541448739244,-0.15313302704202258,0.29059401690353664,0.3870967741935484,0.5098427183094421,-0.24349557316753356,2.09384799763342,0.44359756097560976,1.5263127251770237
12,50.0,0.25,2.0,80.0,True,0.044499541448739244,-0.15313302704202258,0.29059401690353664,0.3870967741935484,0.5383732834140234,-0.23570936570405765,2.2840555435967365,0.4447852760736196,1.5792591422115936
5,60.0,0.2,2.0,80.0,True,0.027411465852568595,-0.09503026068751408,0.28844986485626,0.43103448275862066,0.27847580030557495,-0.14756049370745783,1.8871975371515075,0.4746136865342163,1.2813661275380468
5,60.0,0.25,2.0,80.0,True,0.027411465852568595,-0.09503026068751408,0.28844986485626,0.43103448275862066,0.27661125328840175,-0.14756049370745739,1.8745617227114388,0.4768211920529801,1.2736235357804004
5,60.0,0.3,2.0,80.0,True,0.027411465852568595,-0.09503026068751408,0.28844986485626,0.43103448275862066,0.281229656284921,-0.14756049370745783,1.9058600931660303,0.4778761061946903,1.2900790336799788
12,60.0,0.2,2.0,80.0,True,0.037340055131098504,-0.13026228278481167,0.2866528540174814,0.42280285035629456,0.4366598106757411,-0.2547849288784123,1.7138368921504088,0.4435612082670906,1.434427347848286
12,60.0,0.25,2.0,80.0,True,0.037340055131098504,-0.13026228278481167,0.2866528540174814,0.42280285035629456,0.45414336477190376,-0.25478492887841253,1.7824577253100724,0.4449760765550239,1.4730383008956238
12,60.0,0.3,2.0,80.0,True,0.037340055131098504,-0.13026228278481167,0.2866528540174814,0.42280285035629456,0.48030735396008506,-0.22847345652974937,2.102245754300761,0.44551282051282054,1.5252816544037258
12,60.0,0.2,2.5,70.0,True,0.042405767153791185,-0.14796550485864235,0.286592251310893,0.4223300970873786,0.43593440366615965,-0.2538033457106881,1.7176070017732699,0.4747634069400631,1.410542412930955
12,60.0,0.25,2.5,70.0,True,0.042405767153791185,-0.14796550485864235,0.286592251310893,0.4223300970873786,0.452425176796291,-0.2538033457106883,1.7825816106932362,0.4762658227848101,1.446114004233967
12,60.0,0.3,2.5,70.0,True,0.042405767153791185,-0.14796550485864235,0.286592251310893,0.4223300970873786,0.47512495789074904,-0.2538033457106881,1.8720200734955905,0.4785373608903021,1.4893816446568504
8,50.0,0.3,2.5,80.0,True,0.04652741302493024,-0.1637616704720838,0.28411662442623714,0.4266304347826087,0.541090772221944,-0.20567990379775714,2.6307420522424634,0.5009107468123861,1.5905559797338369
8,50.0,0.2,2.0,80.0,True,0.043014512945433125,-0.15269293476829904,0.2817059807692129,0.40633245382585753,0.40513968559979463,-0.22374048685019854,1.8107571468325654,0.4475043029259897,1.320253843162445
8,50.0,0.25,2.0,80.0,True,0.043014512945433125,-0.15269293476829904,0.2817059807692129,0.40633245382585753,0.4188125844632493,-0.2237404868501982,1.871867672942262,0.45,1.3481870640948619
12,50.0,0.2,2.0,70.0,True,0.04685319914374375,-0.1663283178720003,0.28169105383366,0.37844036697247707,0.4918801140351772,-0.235029605360061,2.092843211312149,0.44590643274853803,1.4820050399114877
12,50.0,0.25,2.0,70.0,True,0.04685319914374375,-0.1663283178720003,0.28169105383366,0.37844036697247707,0.5153543406603074,-0.22705499935801166,2.269733510019378,0.44640234948604995,1.5269206295490891
12,60.0,0.2,2.5,80.0,False,0.04799195559105618,-0.17109603980975918,0.2804971736599993,0.42950108459869846,0.5859309242288657,-0.20485262170330676,2.8602559213398027,0.4852459016393443,1.6853001480030088
12,60.0,0.25,2.5,80.0,False,0.04799195559105618,-0.17109603980975918,0.2804971736599993,0.42950108459869846,0.6153838165235599,-0.20485262170330676,3.004031929915136,0.48848684210526316,1.7379398836995534
